               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11802,            0.040676,                   0,            0.023695,             0.42763,            0.028395,           0.0062368,             0.10529,            0.034624,                   0,              0.0829,              0.0019,              0.0019
                   1,            0.096803,            0.048857,                   0,             0.15952,             0.42982,             0.15497,            0.038262,            0.082194,            0.035036,                   0,            0.064823,           0.0038228,           0.0038228
                   2,            0.077461,            0.044809,                   0,             0.22814,             0.49781,              0.2505,            0.083675,            0.087342,            0.052179,                   0,            0.046666,           0.0056664,           0.0056664
                   3,            0.073418,            0.039538,                   0,             0.39321,             0.73684,             0.42376,             0.15018,            0.062089,            0.035471,                   0,            0.028431,           0.0074307,           0.0074307
                   4,            0.075665,            0.036981,                   0,             0.50468,             0.68421,             0.54549,             0.20917,            0.062639,             0.02736,                   0,            0.010116,           0.0091159,           0.0091159
                   5,            0.066544,             0.03758,                   0,             0.29905,             0.36184,             0.28112,             0.10955,            0.070067,            0.026601,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.062678,            0.036793,                   0,             0.57178,             0.63816,             0.57812,              0.2469,            0.052848,            0.024515,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.056549,            0.034159,                   0,             0.33178,             0.70614,             0.38299,             0.17312,            0.056414,             0.02517,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.05282,            0.035175,                   0,             0.74951,             0.84868,             0.86186,             0.36155,            0.045176,            0.024818,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.050374,            0.033912,                   0,             0.56568,             0.69737,             0.68084,             0.36394,            0.050022,            0.025364,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.047604,            0.031573,                   0,             0.85537,             0.86896,             0.93021,             0.46784,            0.039952,            0.022839,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045939,            0.032227,                   0,             0.75683,             0.85088,             0.86022,             0.47319,            0.039953,            0.023127,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.043591,            0.031874,                   0,             0.80057,             0.91009,             0.90881,             0.43344,             0.03949,             0.02521,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.041288,            0.031681,                   0,             0.78633,             0.81509,             0.88953,             0.50316,            0.040272,             0.02216,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.040776,             0.03029,                   0,             0.82313,             0.91854,             0.91957,             0.51134,             0.03654,             0.02412,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.038656,            0.031401,                   0,             0.76441,             0.91791,             0.91215,             0.52444,            0.037555,            0.022318,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.038406,            0.029935,                   0,             0.82122,             0.92105,             0.93408,             0.54127,            0.032435,            0.021939,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.036337,            0.030304,                   0,             0.80276,             0.93714,             0.93821,             0.56582,            0.034734,            0.021934,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.036882,            0.030356,                   0,             0.83494,             0.93202,              0.9449,             0.56313,            0.031867,            0.021019,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.035176,            0.030027,                   0,             0.84223,             0.92483,             0.94362,             0.57494,            0.031535,            0.021114,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.034709,            0.031008,                   0,              0.8512,             0.92834,             0.94727,             0.59308,            0.031207,            0.021256,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034432,            0.030821,                   0,             0.85633,             0.92807,             0.94531,              0.5895,            0.030677,            0.020722,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.033073,            0.028222,                   0,             0.85366,             0.93386,             0.95088,             0.60108,             0.02903,            0.020328,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.033867,            0.030166,                   0,               0.867,             0.88633,             0.94367,             0.58038,            0.030523,            0.020657,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031964,            0.027879,                   0,              0.8481,              0.9057,             0.94754,             0.61395,            0.028782,            0.020207,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031783,            0.028548,                   0,             0.83856,             0.92264,             0.94508,             0.57071,            0.030559,            0.020678,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.031278,            0.029185,                   0,              0.8642,             0.87939,             0.94279,             0.61342,            0.028831,            0.020326,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.030797,            0.027971,                   0,             0.80895,             0.95175,             0.94261,             0.61009,            0.029224,             0.02075,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.029596,            0.027546,                   0,             0.85504,             0.89254,              0.9444,              0.5882,            0.029466,            0.020859,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.029968,             0.02738,                   0,             0.85641,             0.92105,             0.94907,             0.62606,            0.027601,            0.020069,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.029621,            0.029079,                   0,             0.85593,             0.92506,             0.94382,             0.62533,            0.027444,            0.020093,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.029388,            0.028253,                   0,             0.85015,             0.93313,             0.94302,             0.61188,            0.027654,            0.020931,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.028845,            0.028048,                   0,             0.85052,             0.92338,             0.94982,              0.6318,            0.028553,            0.020308,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.029803,            0.028333,                   0,             0.87246,             0.91009,             0.95032,             0.60593,            0.027532,            0.020396,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.02794,            0.026827,                   0,              0.8623,             0.92763,             0.94895,             0.65225,            0.025406,            0.019708,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.027343,            0.028032,                   0,             0.86361,             0.93035,             0.94609,             0.62428,            0.026002,            0.019823,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.026417,            0.026716,                   0,              0.8465,             0.93122,             0.94872,             0.64677,            0.024974,            0.019691,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.026784,            0.026741,                   0,             0.85537,             0.92088,              0.9489,              0.6501,            0.025089,            0.019988,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.026623,            0.027042,                   0,             0.83195,             0.94737,             0.94846,             0.64804,            0.025112,            0.019884,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.026304,            0.026002,                   0,             0.85705,             0.92037,             0.94773,             0.64893,            0.025244,            0.019877,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.026062,            0.025483,                   0,             0.87083,             0.90186,             0.94602,             0.65465,            0.025201,            0.019902,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025897,            0.026802,                   0,             0.87335,             0.89222,             0.94631,             0.65076,            0.025383,            0.020143,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.025738,            0.026921,                   0,             0.84768,             0.91228,              0.9444,             0.65332,            0.025026,            0.020719,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.025449,            0.026619,                   0,              0.8627,             0.89254,              0.9442,             0.65102,            0.025004,            0.020071,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025454,            0.025201,                   0,             0.86786,             0.90736,             0.94556,             0.66099,            0.024587,            0.019954,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024889,            0.026683,                   0,             0.86145,             0.91354,             0.94489,             0.65728,            0.024476,            0.019999,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.024863,            0.025243,                   0,             0.85571,             0.91886,               0.946,             0.66129,            0.024478,            0.019968,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.024929,             0.02571,                   0,             0.86689,             0.90132,             0.94446,             0.66403,            0.024538,            0.020003,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.025229,            0.026045,                   0,             0.88042,             0.89035,             0.94369,             0.65841,            0.024555,            0.020052,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.025442,            0.025497,                   0,             0.87756,              0.8959,             0.94542,              0.6579,            0.024412,            0.020057,                   0,            0.000496,            0.000496,            0.000496
